	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g04510	42	34	36	142	99	61
gene:Bcin01g04520	0	0	0	0	0	1
gene:Bcin01g04530	10	17	2	14	31	12
gene:Bcin01g04540	40	49	28	1595	459	380
gene:Bcin01g04550	527	604	501	1003	602	517
gene:Bcin01g04560	173	166	190	241	177	114
gene:Bcin01g04570	213	249	196	252	108	134
gene:Bcin01g04580	892	1172	578	259	289	249
gene:Bcin01g04590	5	5	7	2	1	3
gene:Bcin01g04600	4947	5303	4151	1289	1127	883
gene:Bcin01g04610	0	0	0	1	0	0
gene:Bcin01g04620	0	0	1	0	0	0
gene:Bcin01g04630	498	654	506	691	609	480
gene:Bcin01g04640	7900	8361	7397	5745	5624	4425
gene:Bcin01g04650	4	8	3	11	7	5
gene:Bcin01g04660	3	3	4	7	8	1
gene:Bcin01g04670	298	202	239	129	796	176
gene:Bcin01g04680	0	0	0	0	0	0
gene:Bcin01g04690	0	1	0	0	0	0
gene:Bcin01g04700	546	642	581	494	589	367
gene:Bcin01g04710	1492	1372	969	1907	1350	1127
gene:Bcin01g04720	687	776	684	629	502	491
gene:Bcin01g04730	24	35	27	28	14	33
gene:Bcin01g04740	110	124	84	79	61	68
gene:Bcin01g04750	87	111	83	117	168	120
gene:Bcin01g04760	8	8	3	17	21	10
gene:Bcin01g04770	14	11	16	84	83	55
gene:Bcin01g04780	431	541	410	595	597	597
gene:Bcin01g04790	832	995	1124	807	857	677
gene:Bcin01g04800	966	1208	956	1013	820	685
gene:Bcin01g04810	191	236	188	111	121	95
gene:Bcin01g04820	82	108	61	70	53	60
gene:Bcin01g04830	8	6	6	2	8	5
gene:Bcin01g04840	1	4	0	6	0	0
gene:Bcin01g04850	22	14	17	13	17	13
gene:Bcin01g04860	327	445	1059	28	22	10
gene:Bcin01g04870	0	1	0	2	6	0
gene:Bcin01g04880	39	43	40	42	75	61
gene:Bcin01g04890	125	153	80	137	240	178
gene:Bcin01g04900	259	247	146	124	267	140
gene:Bcin01g04910	7	12	7	20	20	10
gene:Bcin01g04920	19	28	19	22	40	14
gene:Bcin01g04930	23	63	4	14386	28861	17478
gene:Bcin01g04940	145	200	156	387	356	257
gene:Bcin01g04950	446	470	296	598	474	429
gene:Bcin01g04960	228	249	355	228	138	131
gene:Bcin01g04970	4	5	2	7	4	4
gene:Bcin01g04980	6736	7108	6280	7002	4080	3920
gene:Bcin01g04990	8	16	7	27	21	10
gene:Bcin01g05000	2	2	3	5	7	4
gene:Bcin01g05010	418	482	286	844	893	673
gene:Bcin01g05020	939	1024	370	3926	3932	2902
gene:Bcin01g05030	5	7	7	19	14	7
